year;url;name;bold_colors;main_color;typo;busy;picture;pattern;color_block;size;centered;swiss;newspapperlayout;colorful;rgb_value
2010;url(./Img/2010_adobe.png);2010_adobe.png;false;grey;true;true;true;false;false;big;false;false;true;false;"""rgb(63,61,60)"""
2010;url(./Img/2010_Apple.png);2010_Apple.png;false;white;true;true;true;false;false;big;false;false;true;false;"""rgb(183,184,186)"""
2010;url(./Img/2010_britney.png);2010_britney.png;true;blue;true;true;true;true;true;big;false;false;true;true;"""rgb(198,203,217)"""
2010;url(./Img/2010_cola.png);2010_cola.png;true;white;true;true;true;false;false;small;true;false;false;true;"""rgb(242,217,215)"""
2010;url(./Img/2010_guggenheim.png);2010_guggenheim.png;false;white;true;false;false;false;true;small;false;false;false;false;"""rgb(247,245,245)"""
2010;url(./Img/2010_mc.png);2010_mc.png;true;blue;true;true;true;true;true;big;false;false;true;true;"""rgb(198,193,213)"""
2010;url(./Img/2010_Moma.png);2010_Moma.png;false;white;true;false;false;false;false;small;true;false;false;false;"""rgb(250,243,241)"""
2010;url(./Img/2010_nike.png);2010_nike.png;false;white;true;false;false;false;false;small;true;false;false;false;"""rgb(230,228,225)"""
2010;url(./Img/2010_olafur.png);2010_olafur.png;;;;;;;;;;;;;"""rgb(59,76,79)"""
2010;url(./Img/2010_post.png);2010_post.png;;;;;;;;;;;;;"""rgb(245,241,223)"""
2010;url(./Img/2010_swatch.png);2010_swatch.png;;;;;;;;;;;;;"""rgb(217,208,209)"""
2010;url(./Img/2010_swisscom.png);2010_swisscom.png;;;;;;;;;;;;;"""rgb(238,239,241)"""
2010;url(./Img/2010_whitney.png);2010_whitney.png;;;;;;;;;;;;;"""rgb(172,174,173)"""
2010;url(./Img/2010_yahoo.png);2010_yahoo.png;;;;;;;;;;;;;"""rgb(213,207,210)"""
2011;url(./Img/2011_Apple.png);2011_Apple.png;;;;;;;;;;;;;"""rgb(217,217,217)"""
2011;url(./Img/2011_brizk.png);2011_brizk.png;;;;;;;;;;;;;"""rgb(209,224,214)"""
2011;url(./Img/2011_mtv.png;2011_mtv.png;;;;;;;;;;;;;"""rgb(107,87,112)"""
2011;url(./Img/2011_Apple.png);2011_post.png;;;;;;;;;;;;;"""rgb(235,227,205)"""
2011;url(./Img/2011_Apple.png);2011_rally_agentur.png;;;;;;;;;;;;;"""rgb(209,204,200)"""
2011;;2011_sbb.png;;;;;;;;;;;;;"""rgb(236,235,237)"""
2011;;2011_St_martin.png;;;;;;;;;;;;;"""rgb(155,200,192)"""
2011;;2011_zaha.png;;;;;;;;;;;;;"""rgb(40,32,26)"""
2012;;2011-mtv.png;;;;;;;;;;;;;"""rgb(107,87,112)"""
2012;;2012_adobe.png;;;;;;;;;;;;;"""rgb(113,101,97)"""
2012;;2012_amazon.png;;;;;;;;;;;;;"""rgb(233,235,237)"""
2012;;2012_Apple.png;;;;;;;;;;;;;"""rgb(217,204,204)"""
2012;;2012_arte.png;;;;;;;;;;;;;"""rgb(144,143,142)"""
2012;;2012_guggenheim.png;;;;;;;;;;;;;"""rgb(241,238,238)"""
2012;;2012_kunsthaus.png;;;;;;;;;;;;;"""rgb(215,210,203)"""
2012;;2012_Moma.png;;;;;;;;;;;;;"""rgb(163,156,155)"""
2012;;2012_nike.png;;;;;;;;;;;;;"""rgb(217,218,218)"""
2012;;2012_st_martin.png;;;;;;;;;;;;;"""rgb(207,195,189)"""
2012;;2012_swatch.png;;;;;;;;;;;;;"""rgb(116,161,86)"""
2012;;2012_Swisscom.png;;;;;;;;;;;;;"""rgb(209,207,206)"""
2012;;2012_zaha.png;;;;;;;;;;;;;"""rgb(30,30,30)"""
2013;;2013_amazon.png;;;;;;;;;;;;;"""rgb(240,239,238)"""
2013;;2013_annabelle.png;;;;;;;;;;;;;"""rgb(239,234,232)"""
2013;;2013_Apple.png;;;;;;;;;;;;;"""rgb(236,219,112)"""
2013;;2013_arte.png;;;;;;;;;;;;;"""rgb(85,68,58)"""
2013;;2013_mc.png;;;;;;;;;;;;;"""rgb(177,165,161)"""
2013;;2013_mtv.png;;;;;;;;;;;;;"""rgb(190,180,175)"""
2013;;2013_nzz.png;;;;;;;;;;;;;"""rgb(210,209,208)"""
2013;;2013_refikanadol.png;;;;;;;;;;;;;"""rgb(209,209,209)"""
2013;;2013_sbb.png;;;;;;;;;;;;;"""rgb(235,235,236)"""
2013;;2013_srf.png;;;;;;;;;;;;;"""rgb(102,99,98)"""
2013;;2013_swisscom.png;;;;;;;;;;;;;"""rgb(162,159,170)"""
2013;;2013_Whitney.png;;;;;;;;;;;;;"""rgb(249,249,249)"""
2014;;2014_adobe.png;;;;;;;;;;;;;"""rgb(206,200,197)"""
2014;;2014_amazon.png;;;;;;;;;;;;;"""rgb(225,223,222)"""
2014;;2014_Apple.png;;;;;;;;;;;;;"""rgb(159,140,105)"""
2014;;2014_balenciaga.png;;;;;;;;;;;;;"""rgb(251,251,251)"""
2014;;2014_Moma.png;;;;;;;;;;;;;"""rgb(146,136,138)"""
2014;;2014_nike.png;;;;;;;;;;;;;"""rgb(221,218,218)"""
2014;;2014_olafur.png;;;;;;;;;;;;;"""rgb(56,55,58)"""
2014;;2014_sbb.png;;;;;;;;;;;;;"""rgb(231,228,229)"""
2014;;2014_srf.png;;;;;;;;;;;;;"""rgb(108,105,102)"""
2014;;2014_swatch.png;;;;;;;;;;;;;"""rgb(222,227,233)"""
2014;;2014_vitra.png;;;;;;;;;;;;;"""rgb(206,201,197)"""
2014;;2014_yahoo.png;;;;;;;;;;;;;"""rgb(186,183,196)"""
2014;;2014_zaha.png;;;;;;;;;;;;;"""rgb(101,102,104)"""
