year;url;name;bold_colors;main_color;typo;busy;picture;pattern;color_block;size;centered;swiss;newspapperlayout;colorful;average_col;Col_value;rgb_value
2015;;2015_amazon.png;;;;;;;;;;;;;false;196196198;"""rgb(196,196,198)"""
2015;;2015_annabelle.png;;;;;;;;;;;;;false;215217231,;"""rgb(215,217,231)"""
2015;;2015_Apple.png;;;;;;;;;;;;;false;215217231,;"""rgb(216,215,215)"""
2015;;2015_arte.png;;;;;;;;;;;;;false;12410589,;"""rgb(124,105,89)"""
2015;;2015_balenciaga.png;;;;;;;;;;;;;false;"""222528"",";"""rgb(22,25,28)"""
2015;;2015_Moma.png;;;;;;;;;;;;;false;"""175165159""";"""rgb(175,165,159)"""
2015;;2015_Mtv.png;;;;;;;;;;;;;false;"""1009294""";"""rgb(100,92,94)"""
2015;;2015_nike.png;;;;;;;;;;;;;false;"""929190""";"""rgb(92,91,90)"""
2015;;2015_post.png;;;;;;;;;;;;;false;"""220206162""";"""rgb(220,206,162)"""
2015;;2015_srf.png;;;;;;;;;;;;;false;"""767977""";"""rgb(76,79,77)"""
2015;;2015_swatch.png;;;;;;;;;;;;;false;"""218207205""";"""rgb(218,207,205)"""
2015;;2015_vogue.png;;;;;;;;;;;;;false;;"""rgb(243,242,240)"""
2016;;2016_amazon.png;;;;;;;;;;;;;false;"""204204205""";"""rgb(204,204,205)"""
2016;;2016_annabelle.png;;;;;;;;;;;;;false;"""227108111""";"""rgb(227,108,111)"""
2016;;2016_google.png;;;;;;;;;;;;;false;"""225228226""";"""rgb(225,228,226)"""
2016;;2016_guggenheim.png;;;;;;;;;;;;;false;"""212207202""";"""rgb(212,207,202)"""
2016;;2016_mtv.png;;;;;;;;;;;;;false;"""717793""";"""rgb(71,77,93)"""
2016;;2016_nike.png;;;;;;;;;;;;;false;"""1678091""";"""rgb(167,80,91)"""
2016;;2016_nzz.png;;;;;;;;;;;;;false;"""229229230""";"""rgb(229,229,230)"""
2016;;2016_olafur.png;;;;;;;;;;;;;false;"""228223220""";"""rgb(228,223,220)"""
2016;;2016_srf.png;;;;;;;;;;;;;false;"""615450""";"""rgb(61,54,50)"""
2016;;2016_swisscom.png;;;;;;;;;;;;;false;"""235239244""";"""rgb(235,239,244)"""
2016;;2016_Vitra.png;;;;;;;;;;;;;false;"""213212200""";"""rgb(213,212,200)"""
2016;;2016_yagoo.png;;;;;;;;;;;;;false;"""230227239""";"""rgb(230,227,239)"""
2017;;2017_Apple.png;;;;;;;;;;;;;false;"""234225220""";"""rgb(234,225,220)"""
2017;;2017_cola.png;;;;;;;;;;;;;false;"""203180182""";"""rgb(203,180,182)"""
2017;;2017_google.png;;;;;;;;;;;;;false;"""252252253""";"""rgb(252,252,253)"""
2017;;2017_Moma.png;;;;;;;;;;;;;false;"""183180173""";"""rgb(183,180,173)"""
2017;;2017_nike.png;;;;;;;;;;;;;false;"""117117118""";"""rgb(117,117,118)"""
2017;;2017_olafur.png;;;;;;;;;;;;;false;"""252252252""";"""rgb(252,252,252)"""
2017;;2017_post.png;;;;;;;;;;;;;false;"""220204158";"""rgb(220,204,158)"""
2017;;2017_rally_agentur.png;;;;;;;;;;;;;false;"""251250250""";"""rgb(251,250,250)"""
2017;;2017_refikanadol.png;;;;;;;;;;;;;false;"""626165""";"""rgb(62,61,65)"""
2017;;2017_sbb.png;;;;;;;;;;;;;false;"""214167160""";"""rgb(214,167,160)"""
2017;;2017_srf.png;;;;;;;;;;;;;false;"""717172""";"""rgb(71,71,72)"""
2017;;2017_swatch.png;;;;;;;;;;;;;false;"""179197178";"""rgb(179,197,178)"""
2017;;2017_vitra.png;;;;;;;;;;;;;false;"""154142132""";"""rgb(154,142,132)"""
2017;;2017_vogue.png;;;;;;;;;;;;;false;;"""rgb(205,203,202)"""
2018;;2018_amazon.png;;;;;;;;;;;;;false;"""166169170""";"""rgb(166,169,170)"""
2018;;2018_annabelle.png;;;;;;;;;;;;;false;"""147131128""";"""rgb(147,131,128)"""
2018;;2018_Moma.png;;;;;;;;;;;;;false;"""237237236""";"""rgb(237,237,236)"""
2018;;2018_Mtv.png;;;;;;;;;;;;;false;"""148132125""";"""rgb(148,132,125)"""
2018;;2018_nike.png;;;;;;;;;;;;;false;",""143150147""";"""rgb(143,150,147)"""
2018;;2018_nzz.png;;;;;;;;;;;;;false;"239239241"",";"""rgb(239,239,241)"""
2018;;2018_olafur.png;;;;;;;;;;;;;false;"165174157""";"""rgb(165,174,157)"""
2018;;2018_srf.png;;;;;;;;;;;;;false;"""163157157""";"""rgb(163,157,157)"""
2018;;2018_swatch.png;;;;;;;;;;;;;false;"""177123123""";"""rgb(177,123,123)"""
2018;;2018_vitra.png;;;;;;;;;;;;;false;"""156162182""";"""rgb(156,162,182)"""
2018;;2018_whitney.png;;;;;;;;;;;;;false;"226219212""";"""rgb(226,219,212)"""
2019;;2019_amazon.png;;;;;;;;;;;;;false;"""186202210""";"""rgb(186,202,210)"""
2019;;2019_annabelle.png;;;;;;;;;;;;;false;"""162147150""";"""rgb(162,147,150)"""
2019;;2019_Apple.png;;;;;;;;;;;;;false;"216210211""";"""rgb(216,210,211)"""
